id,x,y,z,yaw,pitch,roll
1,1713.43,1009.43,-0.841914,-2.1958,-0.045593,-0.0209513
2,1713.11,1008.99,-0.841293,-2.19937,-0.0480736,-0.0191446
3,1713.2,1009.01,-0.806744,-2.19706,-0.0508536,-0.000178145
4,1713.4,1009.25,-0.874248,-2.19654,-0.0551498,0.00603635
5,1713.6,1009.52,-0.863125,-2.19596,-0.0545627,0.00477793
6,1713.73,1009.69,-0.882653,-2.19553,-0.0554017,0.00620793
7,1713.97,1010.03,-0.881601,-2.19586,-0.0544751,0.00568375
8,1714.26,1010.46,-0.844836,-2.19346,-0.0480174,0.000209629
9,1714.3,1010.52,-0.86588,-2.19163,-0.0461505,0.00182681
10,1714.59,1010.84,-1.06602,-2.19117,-0.0516676,0.0238548
11,1715.03,1011.44,-1.07175,-2.19136,-0.0504194,0.020956
12,1715.11,1011.52,-1.07491,-2.18806,-0.0519194,0.0230212
13,1715.07,1011.48,-1.10742,-2.18479,-0.0550656,0.0245597
14,1714.35,1010.59,-0.996477,-2.20232,-0.052252,0.0189274
15,1714.17,1010.34,-0.978686,-2.20333,-0.0532469,0.0181816
16,1713.97,1010.05,-1.03813,-2.2047,-0.0512851,0.0231546
17,1713.74,1009.74,-1.02851,-2.20398,-0.0520059,0.0220013
18,1713.51,1009.44,-1.05149,-2.20377,-0.05472,0.0215178
19,1713.28,1009.12,-1.03194,-2.20422,-0.0538935,0.0220971
20,1713.1,1008.83,-0.967956,-2.20413,-0.0480254,0.0337932
21,1712.91,1008.55,-0.977183,-2.20433,-0.0469349,0.0342051
22,1712.72,1008.3,-0.967151,-2.20617,-0.0481913,0.037057
23,1712.53,1008.03,-0.959364,-2.20627,-0.0482966,0.0369459
24,1712.32,1007.73,-0.966454,-2.20631,-0.0485779,0.0368534
25,1712.12,1007.47,-0.94016,-2.20722,-0.0487622,0.0362756
26,1711.92,1007.21,-0.966233,-2.20662,-0.0467444,0.0327422
27,1711.7,1006.92,-0.970061,-2.20698,-0.0471028,0.0325232
28,1711.5,1006.66,-0.980444,-2.20692,-0.0447978,0.0310206
29,1711.28,1006.38,-0.981143,-2.20653,-0.0443085,0.0264846
30,1711.1,1006.12,-0.986243,-2.20623,-0.0452715,0.0291413
31,1710.91,1005.87,-1.00458,-2.20607,-0.0453157,0.0273342
32,1710.72,1005.62,-0.99128,-2.20543,-0.0463566,0.0262048
33,1710.53,1005.37,-1.01909,-2.20525,-0.0466831,0.0262552
34,1710.3,1005.08,-0.998146,-2.20455,-0.0486906,0.0232673
35,1710.1,1004.82,-1.00444,-2.20258,-0.048054,0.0232063
36,1709.88,1004.53,-1.01702,-2.20212,-0.0493522,0.0235304
37,1709.63,1004.34,-0.703427,-2.19879,-0.0477991,-0.00436385
38,1709.43,1004.04,-0.7179,-2.19687,-0.0469591,-0.00345912
39,1709.32,1003.9,-0.720804,-2.19734,-0.0482406,-0.00200287
40,1709.12,1003.62,-0.707771,-2.19571,-0.0482706,-0.00146097
