id,x,y,z,yaw,pitch,roll
1,-285.13,226.335,-12.6219,2.44814,0.0126363,0.0394972
2,-284.892,226.12,-12.615,2.44834,0.0137099,0.0401761
3,-285.354,226.52,-12.6263,2.44816,0.0125956,0.0353411
4,-285.592,226.741,-12.6331,2.44941,0.0115871,0.0340785
5,-285.8,226.935,-12.6278,2.45038,0.010977,0.0314809
6,-286.008,227.117,-12.6447,2.4506,0.0112183,0.0314361
7,-286.232,227.285,-12.6489,2.45007,0.0105775,0.0322566
8,-286.426,227.488,-12.631,2.45002,0.00936143,0.0333966
9,-286.64,227.653,-12.6466,2.45133,0.00752339,0.0343486
10,-286.842,227.83,-12.6362,2.45135,0.00712073,0.0329595
11,-287.047,228.025,-12.5961,2.45155,0.0029138,0.032063
12,-287.252,228.189,-12.6068,2.45096,-0.00163021,0.0344916
13,-287.443,228.357,-12.6257,2.45088,-0.00407184,0.0370817
14,-287.641,228.514,-12.6449,2.44995,-0.00335979,0.0381341
15,-287.814,228.676,-12.6499,2.45055,-0.00166909,0.0392687
16,-287.988,228.836,-12.6398,2.451,-0.00123542,0.0397397
17,-288.162,228.985,-12.6756,2.451,-0.00134466,0.0398618
18,-288.347,229.133,-12.6885,2.45126,0.00104099,0.0412826
19,-288.51,229.289,-12.6799,2.45239,0.00484469,0.0395433
20,-288.665,229.417,-12.6897,2.4526,0.00688039,0.0377845
21,-288.827,229.567,-12.6915,2.45271,0.00636031,0.034663
22,-288.996,229.696,-12.691,2.4538,0.00563042,0.034375
23,-289.157,229.844,-12.6912,2.45324,0.00569032,0.0369181
24,-289.3,229.969,-12.7193,2.45283,0.00924871,0.0389644
25,-289.446,230.097,-12.7226,2.45393,0.0124415,0.0411606
26,-289.581,230.227,-12.7063,2.45462,0.0141231,0.0421075
27,-289.743,230.35,-12.7054,2.45507,0.0146609,0.0438255
28,-289.87,230.464,-12.6906,2.45404,0.0143823,0.0434789
29,-290.012,230.587,-12.6877,2.45518,0.0120286,0.0436605
30,-290.135,230.699,-12.7003,2.45614,0.00975026,0.0435804
31,-290.284,230.821,-12.6771,2.45608,0.00864246,0.042038
32,-290.417,230.941,-12.6503,2.45669,0.00504554,0.0397427
33,-290.537,231.059,-12.6713,2.456,0.00185853,0.0402358
34,-290.688,231.173,-12.671,2.45576,-0.000399617,0.0408819
35,-290.802,231.295,-12.6128,2.45591,-0.00633096,0.0390837
36,-290.923,231.401,-12.6399,2.45456,-0.0139545,0.0401383
37,-291.064,231.512,-12.7182,2.45461,-0.0158078,0.0406934
38,-291.182,231.599,-12.7752,2.45496,-0.00973376,0.0417068
39,-291.32,231.688,-12.773,2.45591,-0.000506709,0.0411767
40,-291.414,231.803,-12.7399,2.45618,0.00504977,0.0407034
41,-291.559,231.927,-12.7095,2.45628,0.00171301,0.0427998
42,-291.674,232.048,-12.7239,2.45509,-0.000707505,0.046664
43,-291.809,232.147,-12.7443,2.45388,-0.000544406,0.0518059
44,-291.926,232.251,-12.7696,2.45328,0.00128611,0.0558652
45,-292.058,232.359,-12.7464,2.45424,0.00359929,0.0539234
46,-292.173,232.446,-12.7435,2.45484,0.00652858,0.0497143
47,-292.278,232.55,-12.7487,2.45548,0.00745411,0.0462049
48,-292.408,232.664,-12.7406,2.45662,0.00544355,0.046324
49,-292.517,232.784,-12.761,2.45497,0.00374291,0.048264
50,-292.617,232.863,-12.7779,2.45387,0.0041035,0.0491927
51,-292.748,232.966,-12.7736,2.455,0.0051777,0.0510895
52,-292.882,233.072,-12.7691,2.4544,0.00560114,0.0515495
53,-292.986,233.173,-12.7713,2.45336,0.00623428,0.0496046
54,-293.124,233.277,-12.8014,2.45476,0.00951984,0.0491425
55,-293.228,233.385,-12.7636,2.45599,0.0114303,0.0482693
56,-293.361,233.504,-12.731,2.45538,0.00854478,0.0463578
57,-293.484,233.633,-12.7284,2.45385,-0.000333514,0.043778
58,-293.66,233.746,-12.786,2.45437,-0.00364589,0.0426621
59,-293.766,233.844,-12.8017,2.45625,-0.00207995,0.0449058
60,-293.889,233.967,-12.7722,2.45713,-0.00318463,0.0475229
61,-294.016,234.074,-12.7616,2.4571,-0.00525646,0.0485563
62,-294.144,234.203,-12.7937,2.45499,-0.00716725,0.0502641
63,-294.278,234.319,-12.7793,2.45446,-0.00632318,0.0505394
64,-294.428,234.431,-12.7776,2.45489,-0.00603677,0.0519678
65,-294.553,234.547,-12.7905,2.45442,-0.00558027,0.0525001
66,-294.687,234.668,-12.7876,2.45396,-0.00416672,0.0495624
67,-294.81,234.773,-12.7934,2.45485,-0.00424087,0.0476594
68,-294.947,234.893,-12.7916,2.45555,-0.00457199,0.0475551
69,-295.075,235.014,-12.7917,2.45445,-0.00450231,0.0474121
70,-295.221,235.133,-12.7977,2.45447,-0.00508251,0.0485219
71,-295.341,235.241,-12.8,2.45468,-0.0047594,0.0488295
72,-295.466,235.369,-12.7953,2.45399,-0.00542762,0.0483702
73,-295.589,235.49,-12.787,2.45328,-0.00517307,0.0484708
74,-295.744,235.599,-12.796,2.45316,-0.00560728,0.0487974
